CODE,ADDITIVE_CODE,ONLY_CODE,HEALTH,HALAL,CLASS
E100*,E100,100,BLACK,VITAL_1,RENKLENDIRICILER
E101*,E101,101,BLACK,VITAL_1,RENKLENDIRICILER
E102*,E102,102,RED,VITAL_1,RENKLENDIRICILER
E104*,E104,104,RED,VITAL_1,RENKLENDIRICILER
E107*,E107,107,RED,VITAL_1,RENKLENDIRICILER
E110*,E110,110,RED,VITAL_1,RENKLENDIRICILER
E120**,E120,120,RED,VITAL_2,RENKLENDIRICILER
E122*,E122,122,RED,VITAL_1,RENKLENDIRICILER
E123*,E123,123,RED,VITAL_1,RENKLENDIRICILER
E124*,E124,124,RED,VITAL_1,RENKLENDIRICILER
E127*,E127,127,RED,VITAL_1,RENKLENDIRICILER
E128*,E128,128,RED,VITAL_1,RENKLENDIRICILER
E129*,E129,129,RED,VITAL_1,RENKLENDIRICILER
E131*,E131,131,RED,VITAL_1,RENKLENDIRICILER
E132*,E132,132,RED,VITAL_1,RENKLENDIRICILER
E133*,E133,133,RED,VITAL_1,RENKLENDIRICILER
E140*,E140,140,BLACK,VITAL_1,RENKLENDIRICILER
E141*,E141,141,BLACK,VITAL_1,RENKLENDIRICILER
E142*,E142,142,RED,VITAL_1,RENKLENDIRICILER
E150,E150,150,RED,NORMAL,RENKLENDIRICILER
E151,E151,151,RED,NORMAL,RENKLENDIRICILER
E153*,E153,153,RED,VITAL_1,RENKLENDIRICILER
E154*,E154,154,RED,VITAL_1,RENKLENDIRICILER
E155*,E155,155,RED,VITAL_1,RENKLENDIRICILER
E160(a)*,E160(a),160,BLACK,VITAL_1,RENKLENDIRICILER
E160(b)*,E160(b),160,RED,VITAL_1,RENKLENDIRICILER
E160(c)*,E160(c),160,RED,VITAL_1,RENKLENDIRICILER
E160(d)*,E160(d),160,RED,VITAL_1,RENKLENDIRICILER
E160(e)*,E160(e),160,BLACK,VITAL_1,RENKLENDIRICILER
E160(f)*,E160(f),160,BLACK,VITAL_1,RENKLENDIRICILER
E161*,E161,161,BLACK,VITAL_1,RENKLENDIRICILER
E162*,E162,162,BLACK,VITAL_1,RENKLENDIRICILER
E163*,E163,163,BLACK,VITAL_1,RENKLENDIRICILER
E170*,E170,170,BLACK,VITAL_1,RENKLENDIRICILER
E171,E171,171,BLACK,NORMAL,RENKLENDIRICILER
E172,E172,172,BLACK,NORMAL,RENKLENDIRICILER
