CODE,ADDITIVE_CODE,ONLY_CODE,HEALTH,HALAL,CLASS
E100*,E100,100,BLACK,VITAL_1,RENKLENDIRICILER
E200,E200,200,BLACK,NORMAL,KORUYUCULAR
E300,E300,300,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E400,E400,400,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E101*,E101,101,BLACK,VITAL_1,RENKLENDIRICILER
E201,E201,201,BLACK,NORMAL,KORUYUCULAR
E301,E301,301,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E401,E401,401,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E102*,E102,102,BLACK,VITAL_1,RENKLENDIRICILER
E202,E202,202,BLACK,NORMAL,KORUYUCULAR
E302,E302,302,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E402,E402,402,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E104*,E104,104,BLACK,VITAL_1,RENKLENDIRICILER
E203,E203,203,BLACK,NORMAL,KORUYUCULAR
E303,E303,303,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E403,E403,403,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E107*,E107,107,BLACK,VITAL_1,RENKLENDIRICILER
E210*,E210,210,BLACK,VITAL_1,KORUYUCULAR
E304*,E304,304,BLACK,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E404,E404,404,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E110*,E110,110,BLACK,VITAL_1,RENKLENDIRICILER
E211*,E211,211,BLACK,VITAL_1,KORUYUCULAR
E306*,E306,306,BLACK,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E405,E405,405,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E120**,E120,120,BLACK,VITAL_2,RENKLENDIRICILER
E212*,E212,212,BLACK,VITAL_1,KORUYUCULAR
E307*,E307,307,BLACK,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E406,E406,406,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E122*,E122,122,BLACK,VITAL_1,RENKLENDIRICILER
E213*,E213,213,BLACK,VITAL_1,KORUYUCULAR
E308*,E308,308,BLACK,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E407*,E407,407,BLACK,VITAL_1,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E123*,E123,123,BLACK,VITAL_1,RENKLENDIRICILER
E214*,E214,214,BLACK,VITAL_1,KORUYUCULAR
E309*,E309,309,BLACK,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E410,E410,410,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E124*,E124,124,BLACK,VITAL_1,RENKLENDIRICILER
E215*,E215,215,BLACK,VITAL_1,KORUYUCULAR
E310,E310,310,BLACK,NORMAL,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E412,E412,412,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E127*,E127,127,BLACK,VITAL_1,RENKLENDIRICILER
E216*,E216,216,BLACK,VITAL_1,KORUYUCULAR
E311*,E311,311,BLACK,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E413,E413,413,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E128*,E128,128,BLACK,VITAL_1,RENKLENDIRICILER
E217*,E217,217,BLACK,VITAL_1,KORUYUCULAR
E312*,E312,312,BLACK,VITAL_1,"ANTIOKSIDANLAR, ASITLER, MINERALLER, TUZLAR"
E414,E414,414,BLACK,NORMAL,"KIVAM ARTIRICILAR, STABILIZORLER, HOMOJENLESTIRICILER"
E129*,E129,129,BLACK,VITAL_1,RENKLENDIRICILER
